ticker,status
AARVEEDEN,not_found
ABIN-RE1,not_found
AMIORG,not_found
BARBEQUE,not_found
BINANIIND,not_found
CREATIVE,not_found
EXCEL,not_found
FUSI-RE,not_found
GANESHHOUC,not_found
GEPIL,not_found
GODHA,not_found
HEUBACHIND,not_found
HOVS,not_found
INFIBEAM,not_found
ITDCEM,not_found
JCHAC,not_found
KAVVERITEL,not_found
KBCGLOBAL,not_found
LTIM,not_found
MEGASOFT,not_found
MRO-TEK,not_found
SABTNL,not_found
SAH,not_found
SATINDLTD,not_found
SELAN,not_found
SEQUENT,not_found
SGLTL,not_found
SMLISUZU,not_found
SMSLIFE,not_found
SUNDARMHLD,not_found
SUVENPHAR,not_found
SWANENERGY,not_found
TATAMOTORS,not_found
TIMESGTY,not_found
WORTH,not_found
YAARI,not_found
